State, city, max_price
CA,Chula Vista,1200.0
PA,Villanova,3600.0
Dublin,Sutton,1200.0
TN,Knoxville,7500.0
MA,North Eastham,1200.0
England,Brighton,1200.0
DE,Wilmington,1200.0
Hordaland,Vossevangen,1200.0
CA,Pacific Palisades,1200.0
GA,Sandy Plains,1200.0
CA,Pls Vrds Est,1200.0
Northern Ireland,Lurgan,1200.0
AK,Sitka,3600.0
Basel-Town,Basel,1200.0
MD,Glenn Dale,1200.0
Ontario,Cornwall,1200.0
CO,Castle Rock,1200.0
Alberta,Red Deer,1200.0
Stockholm,Djurgarden,1200.0
Basel-Country,Oberwil,1200.0
IA,Ankeny,1200.0
WA,Edgewood,1200.0
PA,Cranberry Twp,3600.0
CA,Walnut Creek,1200.0
Ontario,Kanata,1200.0
Vestfold,Aasgaardstrand,1200.0
OH,Beachwood,1200.0
Minas Gerais,Vespasiano,1200.0
CA,Downey,1200.0
MA,Newton,1200.0
Stara Zagora,Zagore,1200.0
CA,Vista,1200.0
Ticino,Bellinzona,3600.0
FL,Pensacola,3600.0
England,Huddersfield,3600.0
CA,Lakeside,1200.0
Noord-Holland,Hilversum,3600.0
England,Dumbleton,1200.0
NC,Wilmington,1200.0
Moscow City,Tsaritsyno,3600.0
MI,Farmington,1200.0
England,Canterbury,1200.0
,Mushrif,1200.0
HI,Hon,1200.0
CA,Hollywood,1200.0
Veneto,Vicenza,1200.0
Neuchatel,Neuchatel,1200.0
England,Abbey Town,1200.0
CA,North Tustin,1200.0
Ontario,Guelph,1200.0
CA,Los Gatos,1200.0
MN,Lakeville,1200.0
Rhone-Alpes,Ornex,1200.0
CA,Morro Bay,1200.0
British Columbia,North Vancouver,1200.0
England,Calne,1200.0
Lower Saxony,Braunschweig,3600.0
Aargau,Baden,1200.0
Dublin,Sandymount,1200.0
FL,Orlando,3600.0
Gelderland,Ede,3600.0
MA,Brookline,1200.0
Saskatchewan,Saskatoon,3600.0
NJ,Hampton,1200.0
IL,Wheaton,1200.0
NC,Huntersville,1200.0
MA,Mashpee,1200.0
Tokyo,Setagaya,1200.0
FL,Winter Spgs,1200.0
Saarland,Mettlach,1200.0
PA,Lebanon,1200.0
Tuscany,Firenze,1200.0
CA,Huntington Beach,3600.0
FL,Plantation,3600.0
Victoria,Gisborne,3600.0
CT,Stamford,1200.0
Northwest Territories,Yellowknife,1200.0
CA,West Hills,1200.0
Geneve,Geneve,1200.0
Rhone-Alpes,Ferney-Voltaire,3600.0
New South Wales,Parramatta,1200.0
MA,Lexington,1200.0
WA,Kenmore,1200.0
NY,Huntington,1200.0
Rhone-Alpes,Chamonix-Mont-Blanc,1200.0
MT,Billings,1200.0
England,Leamington Spa,1200.0
England,Ashford,1200.0
Rhineland-Palatinate,Ingelheim-Mitte,1200.0
IL,Peoria,1200.0
WA,Seattle,3600.0
Vaud,Gingins,1200.0
FL,Miami Beach,1200.0
ID,Boise,1200.0
CA,Fullerton,1200.0
Hessen,Hofheim am Taunus,1200.0
PA,Lititz,1200.0
TN,Germantown,1200.0
MN,Minneapolis,1200.0
Guatemala,Atlantida,1200.0
Sardinia,Cagliari,3600.0
Noord-Holland,Badhoevedorp,1200.0
OH,Ottawa Hills,1200.0
England,Cheltenham,1200.0
Vienna,Neustift am Walde,1200.0
Pays de la Loire,Brulon,1200.0
MD,Waldorf,1200.0
Stockholm,Danderyd,1200.0
England,Sutton Valence,1200.0
NY,NYC,1200.0
CA,Pasadena,1200.0
England,Redruth,1200.0
New South Wales,Griffith,1200.0
Ita-Suomen Laani,Kuopio,1200.0
Brittany,Guer,1200.0
England,Chalfont Saint Peter,1200.0
FL,Miami,3600.0
NC,Pittsboro,1200.0
TX,Katy,3600.0
Arhus,Laasby,1200.0
East Bohemia,Hradec Kralove,1200.0
NJ,Bridgewater,1200.0
England,Maidstone,1200.0
Ile-de-France,Paris,3600.0
CA,Atascadero,1200.0
Soul-t'ukpyolsi,Songnae-dong,1200.0
Tuscany,Grosseto,1200.0
IA,Fairfield,1200.0
Dublin,Clondalkin,3600.0
England,Birmingham,1200.0
VA,Ashburn,1200.0
VA,Engleside,1200.0
TN,Hendersonville,1200.0
Freeport,Freeport City,1200.0
Uppsala,Tierp,1200.0
Kobenhavn,Holte,1200.0
Hordaland,Bergen,1200.0
Frederiksborg,Rungsted,1200.0
Staden Kobenhavn,Kjobenhavn,1200.0
England,Watford,1200.0
CA,Lafayette,1200.0
New South Wales,Lindfield,1200.0
Taranaki,New Plymouth City,1200.0
CA,Fremont,1200.0
Meath,Mornington,1200.0
England,Petworth,1200.0
Tasmania,Scamander,3600.0
VA,Reston,1200.0
Ostergotland,Norrkoping,3600.0
Rogaland,Stavanger,1200.0
Ontario,Belleville,1200.0
RI,Bristol,1200.0
FL,Coral Gables,1200.0
CO,Englewood,3600.0
KS,Overland,3600.0
Auckland,Waiau Pa,1200.0
FL,Jacksonville,3600.0
OR,Portland,1200.0
England,Bishop Auckland,1200.0
VT,Pittsfield,3600.0
CA,Cypress,1200.0
CA,Los Angeles,3600.0
TX,San Antonio,1200.0
IL,Libertyville,1200.0
MN,Shorewood,1200.0
CT,Old Greenwich,1200.0
HI,Kapaa,1200.0
CO,Superior,1200.0
Queensland,Coomera,1200.0
Kuala Lumpur,Kuala Lumpur,1200.0
AZ,Fountain Hls,1200.0
MI,Oak Park,1200.0
NY,Lake Mahopac,1200.0
Haryana,Gurgaon,1200.0
,Thorlakshofn,1200.0
CA,Penngrove,3600.0
Dublin,Foxrock,1200.0
Vestfold,Horten,1200.0
MA,Belmont,1200.0
CO,Westminster,1200.0
Ile-de-France,Chatou,1200.0
Attiki,Athina,1200.0
MI,Farmingtn Hls,1200.0
NJ,Alpine,1200.0
NJ,West Orange,1200.0
MT,Belgrade,1200.0
Dublin,Saggart,1200.0
Nordrhein-Westfalen,Telgte,3600.0
CT,Chester,1200.0
England,Basildon,1200.0
MI,Rochester Hills,1200.0
TX,Flower Mound,1200.0
Madrid,Madrid,1200.0
Kobenhavn,Klampenborg,1200.0
Quebec,Montreal,1200.0
Black River,Black River,3600.0
Auckland,Waiwera,1200.0
IL,Morton,1200.0
VA,Falmouth,1200.0
Oslo,Nordstrand,1200.0
Upper Normandy,Rouen,1200.0
RI,Little Compton,1200.0
England,Saffron Walden,1200.0
Bohol,Borja,1200.0
IL,Buffalo Grove,1200.0
TX,Irving,1200.0
Quebec,Sainte-Therese-de-Blainville,1200.0
IA,Burr Oak,1200.0
England,Shenfield,1200.0
Geneve,Anieres,1200.0
Noord-Holland,Amsterdam,1200.0
Brittany,Rennes,7500.0
KwaZulu-Natal,Pietermaritzburg,7500.0
Oslo,Oslo,3600.0
England,Berkeswell,1200.0
CO,Centennial,13000.0
England,Gosport,1200.0
Al Manamah,Al 'Adliyah,1200.0
England,Worcester,1200.0
Rhone-Alpes,Veigy-Foncenex,1200.0
Prague,Suchdol,1200.0
Schwyz,Freienbach,1200.0
Dublin,Shankill,1200.0
Vaud,Begnins,3600.0
CA,Davis,3600.0
England,Exeter,1200.0
Quebec,Ile-Perrot,1200.0
England,Bolton,1200.0
Kiev,Irpin',1200.0
,Monte-Carlo,1200.0
NY,Staten Island,1200.0
GA,Suwanee,1200.0
Provence-Alpes-Cote d'Azur,Biot,3600.0
NY,Lindenhurst,1200.0
TX,Edinburg,1200.0
New Providence,Killarney,1200.0
CA,San Mateo,1200.0
NJ,Tenafly,1200.0
VA,Broadlands,1200.0
NJ,Holmdel,1200.0
TX,Dallas,1200.0
Auckland,Auckland,1200.0
MN,Eagan,3600.0
Western Australia,Perth City,1200.0
England,Basingstoke,1200.0
Lazio,Rome,1200.0
England,Saint Albans,1200.0
NY,Wantagh,1200.0
Ontario,Ajax,1200.0
TX,Allen,1200.0
Queensland,Warwick,1200.0
Stockholm,Saltsjobaden,1200.0
Tuscany,Lucca,1200.0
MI,Ann Arbor,3600.0
England,Chichester,1200.0
Istanbul,Kemerburgaz,1200.0
Bayern,Donauworth,3600.0
Dublin,Rathgar,1200.0
Ontario,Waterford,1200.0
CA,Beverly Hills,1200.0
FL,Chiefland,1200.0
WI,Wisconsin Rapids,1200.0
ME,Milford,1200.0
Zurich,Kloten,3600.0
FL,South Palm Beach,1200.0
Kobenhavn,Hellerup,1200.0
TX,Sugar Land,1200.0
CA,San Diego,1200.0
Murcia,La Alberca,1200.0
,George Town,1200.0
,Gorey,1200.0
NV,Ely,1200.0
FL,Pembroke Pines,1200.0
Scotland,Edinburgh,1200.0
AL,Cahaba Heights,3600.0
NY,N Woodmere,1200.0
Dublin,Kinsaley,1200.0
Dublin,Cabinteely,1200.0
Northern Ireland,Helens Bay,1200.0
TN,Brentwood,1200.0
VA,Gainesville,1200.0
AZ,Queen Creek,1250.0
TX,Fresno,7500.0
Rhineland-Palatinate,Glan-Munchweiler,1200.0
Noord-Brabant,Eindhoven,1200.0
Tyrol,WalcProduct3ee,3600.0
Andalucia,Sevilla,1200.0
Mayo,Castlebar,1200.0
Noord-Holland,Naarden,1200.0
Ontario,Simcoe,1200.0
Heredia,Santa Barbaraa,1200.0
Groningen,Groningen,1200.0
Kerry,Sneem,1200.0
Guangdong,Taicheng,1200.0
Kilkenny,Urlingford,1200.0
VA,Norfolk,1200.0
Lombardy,Milan,1200.0
England,Milton Keynes,1200.0
Geneve,Carouge,3600.0
GA,Athens,1200.0
Scotland,Kirriemuir,3600.0
Tuscany,Florence,1200.0
Utrecht,Utrecht,3600.0
Ceara,Fortaleza,1200.0
MA,Arlington,1200.0
England,London,3600.0
Veneto,Ponte San Nicolo,3600.0
FL,Aloma,1200.0
Franche-Comte,Arc-et-Senans,1200.0
Skane,Malmo,3600.0
CA,Encinitas,1200.0
TX,Killeen,3600.0
Ticino,Massagno,1200.0
Andhra Pradesh,Hyderabad,1200.0
FL,Winter Haven,3600.0
Gauteng,Benoni,1200.0
Victoria,Echuca,1200.0
Oslo,Holmenkollen,1200.0
Lorraine,Hagen,1200.0
Ontario,Saint Catharines,1200.0
LA,Shreveport,7500.0
WI,Madison,1200.0
Saskatchewan,Prince Albert,3600.0
Dublin,Dun Laoghaire,1200.0
Noord-Holland,Castricum,1200.0
MN,Chaska,1200.0
WA,Issaquah,3600.0
TN,Martin,1200.0
NY,Mahopac,2100.0
Lower Saxony,Hannover,1200.0
SC,Hilton Head,3600.0
CA,La Crescenta,1200.0
Queensland,Birkdale,1200.0
England,Cobham,1200.0
Provence-Alpes-Cote d'Azur,Roquefort,1200.0
Louth,Drogheda,1200.0
OH,Washington Township,1200.0
MA,Winchester,1200.0
Dublin,Castleknock,1200.0
TX,Montgomery,1200.0
MI,Bloomfield,1200.0
NY,Larchmont,1200.0
England,Newbury,1200.0
UT,Salt Lake City,1200.0
New South Wales,Wollongong,1200.0
Kobenhavn,Charlottenlund,1200.0
CA,Glendora,1200.0
Scotland,Aberdeen,1200.0
British Columbia,Maple Ridge District Municipality,1200.0
GA,Augusta,1200.0
FL,Amelia Island,1200.0
England,Stockton,1200.0
England,Wigan,1200.0
IL,Chicago,3600.0
AR,Nashville,1200.0
VA,Alexandria,1200.0
General Santos,Baluan,1200.0
Etela-Suomen Laani,Lahti,1200.0
Bern,Bern,3600.0
TX,Lakewood Village,1200.0
Pais Vasco,Basauri,1200.0
Provence-Alpes-Cote d'Azur,Aix-en-Provence,1200.0
